Code_id,Block,ascii_desc,ascii_short_desc,effective_from,inactive,sex,Stype,AgeL,AgeH,Atype
11503-01,1847,Measurement of respiratory muscle strength at multiple lung volumes,Measure resp musc strength mult lung vol,1/7/1998,,,,,,
11503-02,1847,Measurement of respiratory muscle endurance or fatigability,"Measure resp musc endurance/fatigability",1/7/1998,,,,,,
11503-03,1847,Measurement of respiratory muscle strength before and after intravenous injection of placebo and anticholinesterase drugs,"Measure resp musc before/aft inj/o drugs",1/7/1998,,,,,,
11503-04,1848,Exercise testing to assess respiratory status,Exercise test to assess resp status,1/7/1998,,,,,,
11503-05,1848,Spirometry with exercise testing,Spirometry with exercise testing,1/7/1998,,,,,,
11503-06,1849,Measurement of phrenic nerve function,Measurement of phrenic nerve function,1/7/1998,,,,,,
11503-07,1849,Measurement of pulmonary distensibility,Measurement of pulmonary distensibility,1/7/1998,,,,,,
11503-08,1849,"Assessment of arterial carbon dioxide tension or cardiac output, rebreathing method","Assess art CO2 tension/cardiac output",1/7/1998,,,,,,
11503-09,1849,Measurement of resistance of anterior nares or pharynx,"Measure resistance of ant nares/pharynx",1/7/1998,,,,,,
11503-10,1849,Measurement of gas exchange,Measurement of gas exchange,1/7/1998,,,,,,
11503-11,1849,Measurement of carbon monoxide diffusing capacity,Measurement of CO diffusing capacity,1/7/1998,,,,,,
11503-12,1849,Measurement of total lung volume,Measurement of total lung volume,1/7/1998,,,,,,
11503-13,1849,Measurement of airway or pulmonary resistance,"Measurement airway/pulmonary resistance",1/7/1998,,,,,,
11503-14,1849,"Measurement of ventilatory and/or occlusion pressure responses to progressive hypercapnia and hypoxia","Measure ventilatry &/ occlus press respn",1/7/1998,,,,,,
11503-15,1849,Measurement of ventilation perfusion ratios using multiple inert gas elimination techniques,Measure ventn perfn ratios gas elim tech,1/7/1998,,,,,,
11503-16,1849,Continuous monitoring of pulmonary function for >= 6 hours duration,Contin monitor pulmonary function >=6 hr,1/7/1998,,,,,,
11503-17,1849,Inhalation provocation testing,Inhalation provocation testing,1/7/1998,,,,,,
11503-18,1849,Tests of distribution of ventilation,Tests of distribution of ventilation,1/7/1998,,,,,,
11503-19,1849,Simulated altitude test,Simulated altitude test,1/7/1998,,,,,,
11506-00,1849,Other measurement of respiratory function,"Other measurement, respiratory function",1/7/1998,,,,,,
11512-00,1849,Continuous measurement of relationship between flow and volume during expiration or inspiration,Contin measure relatnshp b flow & vol,1/7/1998,,,,,,
11600-00,1850,Cardiac intracavity blood pressure monitoring,Cardiac intracavity blood press monitor,1/7/1998,,,,,,
11600-01,1850,Pulmonary arterial pressure monitoring,Pulmonary arterial pressure monitoring,1/7/1998,,,,,,
11600-02,1850,Central venous pressure monitoring,Central venous pressure monitoring,1/7/1998,,,,,,
11600-03,1850,Systemic arterial pressure monitoring,Systemic arterial pressure monitoring,1/7/1998,,,,,,
11602-00,1852,Examination and recording of wave forms of peripheral veins in 1 or more extremities at rest using CW Doppler or pulsed Doppler,Exam & rcrd wve frm perph vein Doppler,1/7/2006,,,,,,
11603-00,1852,Examination and recording of wave forms of peripheral vessels at rest by 1 technique,"Exam, rcrd wave frm perph vesl 1 tech",1/7/1998,1/7/2006,,,,,
11604-00,1852,Examination and recording of wave forms of peripheral veins in 1 or more extremities using plethysmography,Exam & rcrd wve form perph vein pltsmg,1/7/2006,,,,,,
11605-00,1852,"Examination and recording of wave forms of peripheral veins in lower extremities during and following exercise, using infrared photoplethysmography",Exam & rcrd wve frm ven infrd phtpltsmg,1/7/2006,,,,,,
11606-00,1852,Examination and recording of wave forms of peripheral vessels at rest by 2 techniques,"Exam, rcrd wave frm perph vesl 2 tech",1/7/1998,1/7/2006,,,,,
11609-00,1852,Examination and recording of wave forms of peripheral vessels at rest by >= 3 techniques,Exam rcrd wve frm perph vesl >= 3 tech,1/7/1998,1/7/2006,,,,,
11610-00,1852,Measurement of systolic arterial pressure indices bilaterally and assessment of arterial wave forms in lower extremities,Measure art press & wave form low extrem,1/7/2006,,,,,,
11611-00,1852,Measurement of systolic arterial pressure indices bilaterally and assessment of arterial wave forms in upper extremities,Measure art press & wave form upp extrem,1/7/2006,,,,,,
11612-00,1852,Measurement of systolic arterial pressure indices bilaterally at rest and following exercise in lower extremities,Measure art press at rest & foll exer,1/7/1998,,,,,,
11614-00,1851,Examination and recording of wave forms of intracranial arterial circulation using transcranial Doppler,Exam rcrd wve intrcran art trnscran Dplr,1/7/2006,,,,,,
11615-00,1857,Measurement of digital temperature,Measurement of digital temperature,1/7/1998,,,,,,
11618-00,1851,Examination and recording of wave forms of carotid or vertebral vessels by 1 technique,"Exam rcrd wve carot / vert vesl 1 tech",1/7/1998,1/7/2006,,,,,
11621-00,1851,Examination and recording of wave forms of carotid vessels by 2 techniques,"Exam, rcrd wave carot/vert vesl 2 tech",1/7/1998,1/7/2006,,,,,
11624-00,1851,Examination and recording of wave forms of carotid or vertebral vessels by >= 3 techniques,"Exam & rcrd wave carot/vert >= 3 tech",1/7/1998,1/7/2006,,,,,
11700-00,1855,Other electrocardiography [ECG],Other electrocardiography [ECG],1/7/1998,,,,,,
11706-00,1855,Phonocardiography with electrocardiograph [ECG] lead,Phonocardiography with ECG lead,1/7/1998,1/7/2006,,,,,
11706-01,1855,Phonocardiography with electrocardiograph [ECG] lead with apex cardiogram,Phonocardiography ECG lead apex cardiogm,1/7/1998,1/7/2006,,,,,
11708-00,1853,Ambulatory continuous ECG recording,Ambulatory continuous ECG recording,1/7/1998,,,,,,
11709-00,1853,Holter ambulatory continuous ECG recording,Holter ambulatory continuous ECG rcrd,1/7/1998,,,,,,
11710-00,1854,"Patient activated ambulatory ECG monitoring, recording for at least 20 seconds prior to and 15 seconds after each activation",Pt actvd ECG 20 prior & 15 sec aft actvn,1/7/1998,,,,,,
11711-00,1854,"Patient activated ambulatory ECG monitoring, recording for at least 30 seconds after each activation",Pt actvd ambulatory ECG 30 after actvn,1/7/1998,,,,,,
11712-00,1857,Cardiovascular stress test,Cardiovascular stress test,1/7/1998,,,,,,
11713-00,1855,Signal averaged ECG recording,Signal averaged ECG recording,1/7/1998,,,,,,
11715-00,1857,Blood dye - dilution indicator test,Blood dye - dilution indicator test,1/7/1998,,,,,,
11718-00,1856,Testing of other cardiac pacemaker,Testing of other cardiac pacemaker,1/7/1998,,,,,,
11721-00,1856,Testing of atrioventricular [AV] sequential implanted pacemaker,Testing A-V sequential impl pacemaker,1/7/1998,1/7/2008,,,,,
11721-01,1856,Testing of rate responsive implanted pacemaker,Test rate responsive implanted pacemaker,1/7/1998,1/7/2008,,,,,
11721-02,1856,Testing of antitachycardia implanted pacemaker,Test antitachycardia implanted pacemaker,1/7/1998,1/7/2008,,,,,
11721-03,1856,"Testing of atrioventricular [AV] sequential, rate responsive or antitachycardia cardiac pacemaker","Test A-V seqtl rate respn / antchy pcmkr",1/7/2008,,,,,,
11722-00,1854,Patient activated implantable cardiac event monitoring,Pt actvd impl card event monitoring,1/7/2008,,,,,,
11724-00,1857,Upright tilt table testing,Upright tilt table testing,1/7/1998,,,,,,
11727-00,1856,Testing of cardiac defibrillator,Testing of cardiac defibrillator,1/7/2010,,,,,,
11800-00,1859,Oesophageal motility test,Oesophageal motility test,1/7/1998,,,,,,
11810-00,1859,Measurement of gastro-oesophageal reflux involving >= 24 hour pH monitoring,Measure gastoesph reflux >= 24hr pH,1/7/1998,,,,,,
11820-00,1005,Panendoscopy via camera capsule,Panendoscopy via camera capsule,1/7/2006,,,,,,
11830-00,1859,Anal manometry,Anal manometry,1/7/1998,,,,,,
11830-01,1859,Measurement of anorectal sensation,Measurement of anorectal sensation,1/7/1998,,,,,,
11830-02,1859,Measurement of rectosphincteric reflex,Measurement of rectosphincteric reflex,1/7/1998,,,,,,
11833-00,1859,Measurement of pudendal and spinal nerve motor latency,Measure pudendal & spin nrv motor latncy,1/7/1998,,,,,,
11833-01,1859,Electromyography of pelvic floor and anal sphincter muscles,EMG pelvic floor & anal sphincter musc,1/7/1998,,,,,,
11900-00,1862,Urine flow study,Urine flow study,1/7/1998,,,,,,
11903-00,1860,Cystometrography,Cystometrography,1/7/1998,,,,,,
11906-00,1861,Urethral pressure profilometry [UPP],Urethral pressure profilometry [UPP],1/7/1998,,,,,,
11909-00,1861,Urethral pressure profilometry [UPP] with urethral sphincter electromyography,UPP with urethral sphincter EMG,1/7/1998,,,,,,
11912-00,1860,Cystometrography with measurement of rectal pressure,CMG with measurement rectal pressure,1/7/1998,,,,,,
11915-00,1860,Cystometrography with urethral sphincter electromyography,CMG with urethral sphincter EMG,1/7/1998,,,,,,
11917-00,1860,Cystometrography with 1 or more measurements,Cystometrography with >= 1 measurements,1/7/2006,,,,,,
11918-00,1860,Cystometrography with one or more measurements,Cystometrography with >=1 measurements,1/7/1998,1/7/2006,,,,,
11919-00,1860,Cystometrography with contrast micturating cystourethrography,CMG w contrst mict cystourethrography,1/7/2006,,,,,,
11921-00,1862,Bladder washout test study,Bladder washout test study,1/7/1998,,,,,,
12000-00,1864,Skin sensitivity testing using <= 20 allergens,Skin sensitivity test usg <= 20 allrgn,1/7/1998,,,,,,
12003-00,1864,Skin sensitivity testing using >= 21 allergens,Skin sensitivity test usg >= 21 allrgn,1/7/1998,,,,,,
12012-00,1865,Epicutaneous patch testing using less than the total number of allergens in a standard patch test battery,Epicut patch test < std number allergens,1/7/1998,1/7/2019,,,,,
12012-01,1865,Epicutaneous patch testing using < 25 allergens,Epicut patch test using < 25 allergens,1/7/2019,,,,,,
12015-00,1865,Epicutaneous patch testing using all the allergens in standard patch test battery,Epicut patch test usg all std allergens,1/7/1998,1/7/2019,,,,,
12017-00,1865,Epicutaneous patch testing using 25 to < 50 allergens,Epicut patch test 25 to < 50 allergens,1/7/2019,,,,,,
12018-00,1865,Epicutaneous patch testing using <= 50 allergens,Epicut patch test using <= 50 allergens,1/7/1998,1/7/2019,,,,,
12021-00,1865,Epicutaneous patch testing using >= 51 allergens,Epicut patch test using >= 51 allergens,1/7/1998,1/7/2019,,,,,
12021-01,1865,Epicutaneous patch testing using 50 to < 75 allergens,Epicut patch test 50 to < 75 allergens,1/7/2019,,,,,,
12022-00,1865,Epicutaneous patch testing using 75 to < 100 allergens,Epicut patch test 75 to < 100 allergens,1/7/2019,,,,,,
12024-00,1865,Epicutaneous patch testing using >= 100 allergens,Epicutaneous patch test >= 100 allergens,1/7/2019,,,,,,
12200-00,1885,Iontophoresis,Iontophoresis,1/7/1998,1/7/2004,,,,,
12203-00,1828,Polysomnography,Polysomnography,1/7/1998,,,,,,
12203-01,1828,Overnight oximetry,Overnight oximetry,1/7/2013,,,,,,
12306-00,1984,Bone densitometry using dual energy x-ray absorptiometry,Bone densitometry usg dual energy xray,1/7/1998,,,,,,
12309-00,1984,Bone densitometry using quantitative computerised tomography,Bone densitometry using quantitative CT,1/7/1998,,,,,,
12326-00,1835,Bilateral retinal photography,Bilateral retinal photography,1/7/2019,,,,,,
12500-00,1863,Blood volume nuclear medicine estimation,Blood vol nuclear medicine estimation,1/7/1998,,,,,,
12503-00,1863,Erythrocyte radioactive uptake survival time test,Erythrocyte radioact uptake survl test,1/7/1998,,,,,,
12503-01,1863,Iron kinetic test,Iron kinetic test,1/7/1998,,,,,,
12506-00,1863,Gastrointestinal nuclear medicine blood loss estimation,GI nuclear med blood loss estimation,1/7/1998,,,,,,
12509-00,1863,Gastrointestinal nuclear medicine protein loss test,GI nuclear medicine protein loss test,1/7/1998,,,,,,
12512-00,1863,"Radioactive B12 absorption test, 1 isotope",Radioactive B12 absorptn test 1 isotope,1/7/1998,,,,,,
12515-00,1863,"Radioactive B12 absorption test, 2 isotopes",Radioactive B12 absorptn test 2 isotopes,1/7/1998,,,,,,
12518-00,1863,Thyroid uptake study,Thyroid uptake study,1/7/1998,,,,,,
12521-00,1863,Perchlorate discharge study,Perchlorate discharge study,1/7/1998,,,,,,
12524-00,1863,Renal function nuclear medicine test,Renal function nuclear medicine test,1/7/1998,,,,,,
12530-00,1863,Nuclear medicine whole body count,Nuclear medicine whole body count,1/7/1998,,,,,,
12533-00,1863,Carbon labelled urea breath test,Carbon labelled urea breath test,1/7/1998,,,,,,
13020-00,1888,"Hyperbaric oxygen therapy, > 90 minutes and <= 3 hours",HBOT > 90 mins & <= 3 hours,1/7/1998,,,,,,
13025-00,1888,"Hyperbaric oxygen therapy, more than 3 hours","Hyperbaric oxygen therapy, > 3 hours",1/7/1998,,,,,,
13100-00,1060,Haemodialysis,Haemodialysis,1/7/1998,,,,,,
13100-01,1060,Intermittent haemofiltration,Intermittent haemofiltration,1/7/1998,,,,,,
13100-02,1060,Continuous haemofiltration,Continuous haemofiltration,1/7/1998,,,,,,
13100-03,1060,Intermittent haemodiafiltration,Intermittent haemodiafiltration,1/7/1998,,,,,,
13100-04,1060,Continuous haemodiafiltration,Continuous haemodiafiltration,1/7/1998,,,,,,
13100-05,1060,Haemoperfusion,Haemoperfusion,1/7/1998,,,,,,
13100-06,1061,"Peritoneal dialysis, short term","Peritoneal dialysis, short term",1/7/1998,,,,,,
13100-07,1061,"Intermittent peritoneal dialysis, long term",Intermittent peritonl dialysis long term,1/7/1998,,,,,,
13100-08,1061,"Continuous peritoneal dialysis, long term",Continuous peritonl dialysis long term,1/7/1998,,,,,,
13104-00,1063,Education and training for home dialysis,Education & training for home dialysis,1/7/2008,,,,,,
13106-00,764,Thrombectomy of an external arteriovenous shunt,Thrombectomy external AV shunt,1/7/1998,,,,,,
13109-00,1062,Insertion and fixation of indwelling peritoneal catheter for long term peritoneal dialysis,Ins & fix indwel peritonl cath long term,1/7/1998,,,,,,
13109-01,1062,Replacement of indwelling peritoneal catheter for peritoneal dialysis,Replace indwel peritonl cath f dialysis,1/7/1998,,,,,,
13110-00,1062,Removal of indwelling peritoneal catheter for peritoneal dialysis,"R/O indwel peritoneal cath for dialysis",1/7/1998,,,,,,
13112-00,1062,Establishment of peritoneal dialysis by abdominal puncture and insertion of temporary catheter,"Est dialysis by abdo punct, ins catheter",1/7/1998,,,,,,
13200-00,1297,Assisted reproductive technologies to induce superovulation,Asst reprod technology ind supovulatn,1/7/1998,,2,1,210,260,2
13203-00,1297,Ovulation monitoring services for artificial insemination,Ovulation monitor for artf insemin,1/7/1998,,2,1,210,260,2
13206-00,1297,Assisted reproductive technologies to induce oocyte growth and development,Asst reprod induce oocyte growth & devt,1/7/1998,,2,1,210,260,2
13209-00,1297,Planning and management for assisted reproductive technologies,Plan & mgmt asst reproductive technology,1/7/1998,,2,1,210,260,2
13212-00,1297,Transvaginal oocyte retrieval,Transvaginal oocyte retrieval,1/7/1998,,2,1,210,260,2
13212-01,1297,Transabdominal oocyte retrieval,Transabdominal oocyte retrieval,1/7/1998,,2,1,210,260,2
13215-00,1297,Gamete intrafallopian transfer [GIFT],Gamete intrafallopian transfer [GIFT],1/7/1998,,2,1,210,260,2
13215-01,1297,Embryo transfer to uterus,Embryo transfer to uterus,1/7/2000,,2,1,210,260,2
13215-02,1297,Embryo transfer to fallopian tube,Embryo transfer to fallopian tube,1/7/2000,,2,1,210,260,2
13215-03,1297,Other reproductive medicine procedure,Other reproductive medicine procedure,1/7/2000,,2,1,210,260,2
13218-00,1297,"Fresh, frozen, thawed embryo transfer to uterus",Fresh frozen thawed embryo trnsfr uterus,1/7/1998,1/7/2000,2,1,,,
13218-01,1297,"Fresh, frozen, thawed embryo transfer to fallopian tube","Fresh frzn thwd embryo trnsfr, fall tube",1/7/1998,1/7/2000,2,1,,,
13218-02,1297,Other reproductive medicine procedure,Other reproductive medicine procedure,1/7/1998,1/7/2000,2,1,,,
13221-00,1177,Preparation of semen for artificial insemination,Prep semen for artificial insemination,1/7/1998,,,,,,
13251-00,1177,Intracytoplasmic sperm injection,Intracytoplasmic sperm injection,1/7/2010,,,,,,
13290-00,1192,Collection of semen using a device,Collection of semen using a device,1/7/1998,,1,1,,,
13292-00,1192,Collection of semen using a device under general anaesthetic,Collection of semen with device under GA,1/7/1998,1/7/2002,1,1,,,
13300-00,738,"Catheterisation/cannulation of other vein in neonate","Cath/cannulation other vein in neonate",1/7/1998,,,,,,
13300-01,738,"Scalp vein catheterisation/cannulation in neonate","Scalp vein cath/cannulation in neonate",1/7/1998,,,,,,
13300-02,738,"Umbilical vein catheterisation/cannulation in neonate","Umbilical vein cath/cannuln in neonate",1/7/1998,,,,,,
13303-00,694,"Umbilical artery catheterisation/cannulation in neonate","Umbilical artery cath/cannuln in neonate",1/7/1998,,,,,,
13306-00,1893,Exchange transfusion in infant,Exchange transfusion in infant,1/7/1998,,,,,,
13312-00,1858,Collection of blood for diagnostic purpose in neonate,"Collection blood for dx purpose, neonate",1/7/1998,,,,,,
13319-00,738,Central vein catheterisation in neonate,Central vein catheterisation in neonate,1/7/1998,,,,,,
13400-00,1890,Cardioversion,Cardioversion,1/7/1998,,,,,,
13500-00,1899,Gastric hypothermia,Gastric hypothermia,1/7/1998,1/7/2019,,,,,
13503-00,1867,Gastric hypothermia for gastrointestinal haemorrhage,Gastric hypothermia for GI haemorrhage,1/7/1998,1/7/2000,,,,,
13506-00,1899,Gastro-oesophageal balloon tamponade,Gastro-oesophageal balloon tamponade,1/7/1998,,,,,,
13600-00,1886,Perfusion of organ,Perfusion of organ,1/7/1998,1/7/2004,,,,,
13603-00,1886,Whole body perfusion,Whole body perfusion,1/7/1998,1/7/2004,,,,,
13606-00,1880,Cold therapy,Cold therapy,1/7/1998,1/7/2004,,,,,
13700-00,801,Procurement of bone marrow for transplantation,Procurement bone marrow for trnsplnt,1/7/1998,,,,,,
13706-00,802,"Allogeneic bone marrow or stem cell transplantation, matched related donor, without in vitro processing","Allo bm/sc trnsplnt rel don wo in vitro",1/7/1998,,,,,,
13706-01,1893,Administration of whole blood,Administration of whole blood,1/7/1998,,,,,,
13706-02,1893,Administration of packed cells,Administration of packed cells,1/7/1998,,,,,,
13706-03,1893,Administration of platelets,Administration of platelets,1/7/1998,,,,,,
13706-04,1893,Administration of leukocytes,Administration of leukocytes,1/7/1998,,,,,,
13706-05,1893,Administration of gamma globulin,Administration of gamma globulin,1/7/1998,,,,,,
13706-06,802,"Allogeneic bone marrow or stem cell transplantation, matched related donor, with in vitro processing","Allo bm/sc trnsplnt rel don w in vitro",1/7/1998,,,,,,
13706-07,802,"Autologous bone marrow or stem cell transplantation, without in vitro processing","Autolgs bm/stem cel trnsplnt wo in vitro",1/7/1998,,,,,,
13706-08,802,"Autologous bone marrow or stem cell transplantation, with in vitro processing","Autolgs bm/stem cell trnsplnt w in vitro",1/7/1998,,,,,,
13706-09,802,"Allogeneic bone marrow or stem cell transplantation, other donor, without in vitro processing","Allo bm/sc trnsplnt oth don wo in vitro",1/7/2000,,,,,,
13706-10,802,"Allogeneic bone marrow or stem cell transplantation, other donor, with in vitro processing","Allo bm/sc trnsplnt oth don w in vitro",1/7/2000,,,,,,
13709-00,1891,Collection of blood for transfusion,Collection of blood for transfusion,1/7/1998,,,,,,
13750-00,1892,Therapeutic plasmapheresis,Therapeutic plasmapheresis,1/7/1998,,,,,,
13750-01,1892,Therapeutic leukopheresis,Therapeutic leukopheresis,1/7/1998,,,,,,
13750-02,1892,Therapeutic erythropheresis,Therapeutic erythropheresis,1/7/1998,,,,,,
13750-03,1892,Therapeutic plateletpheresis,Therapeutic plateletpheresis,1/7/1998,,,,,,
13750-04,1892,Apheresis of stem cells,Apheresis of stem cells,1/7/1998,,,,,,
13750-05,1892,Apheresis of stem cells with cryopreservation,Apheresis stem cells w cryopreservation,1/7/1998,,,,,,
13750-06,1892,Other therapeutic haemapheresis,Other therapeutic haemapheresis,1/7/1998,,,,,,
13755-00,1892,Donor haemapheresis,Donor haemapheresis,1/7/1998,,,,,,
13757-00,725,Therapeutic venesection,Therapeutic venesection,1/7/1998,,,,,,
13757-01,725,Venous cutdown,Venous cutdown,1/7/1998,1/7/2000,,,,,
13760-00,1891,In vitro processing of bone marrow or peripheral blood for autologous stem cell transplantation,"In vitro proces bone marrow/perph bl",1/7/1998,,,,,,
13815-00,738,Central vein catheterisation,Central vein catheterisation,1/7/1998,,,,,,
13815-01,738,Percutaneous central vein catheterisation,Perc central vein catheterisation,1/7/1998,,,,,,
13818-00,657,Insertion of right heart balloon catheter for monitoring,Ins R heart balloon catheter for monitor,1/7/1998,,,,,,
13830-00,1,Monitoring of intracranial pressure,Monitoring of intracranial pressure,1/7/1998,1/7/2000,,,,,
13839-00,1858,Collection of blood for diagnostic purposes,Collection blood for dx purposes,1/7/1998,,,,,,
13839-01,1858,Petrosal sampling,Petrosal sampling,1/7/2008,,,,,,
13839-02,1858,Adrenal vein sampling,Adrenal vein sampling,1/7/2008,,,,,,
13842-00,1858,Intra-arterial cannulation for blood gas analysis,"Intra-arterial cannuln, blood gas anlys",1/7/1998,,,,,,
13851-00,1890,Management of circulatory support device,Management circulatory support device,1/7/1998,,,,,,
13857-00,569,"Continuous ventilatory support, initiation outside of intensive care unit",Contin ventilatory sup initn outside ICU,1/7/1998,1/7/2008,,,,,
13879-00,569,"Continuous ventilatory support, initiation in intensive care unit",Contin ventilatory sup initiation in ICU,1/7/1998,1/7/2008,,,,,
13882-00,569,"Management of continuous ventilatory support, <= 24 hours",Mgmt contin ventilatory sup <= 24 hours,1/7/1998,,,,,,
